year_month,year,month,quarter,ndc_11,ndc_9,product_id,brand_name,strength,package_size,units_sold,packages_sold,wac_per_unit,gross_sales_dollars,data_source
2021-01,2021,1,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,80620,11517,17.5,1410850.0,SAP_DSR
2021-01,2021,1,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,851237,28374,17.5,14896647.5,SAP_DSR
2021-01,2021,1,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,301652,3351,17.5,5278910.0,SAP_DSR
2021-01,2021,1,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,127894,18270,17.5,2238145.0,SAP_DSR
2021-01,2021,1,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1406828,46894,17.5,24619490.0,SAP_DSR
2021-01,2021,1,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,500816,5564,17.5,8764280.0,SAP_DSR
2021-02,2021,2,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,77962,11137,17.5,1364335.0,SAP_DSR
2021-02,2021,2,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,875565,29185,17.5,15322387.5,SAP_DSR
2021-02,2021,2,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,276359,3070,17.5,4836282.5,SAP_DSR
2021-02,2021,2,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,155254,22179,17.5,2716945.0,SAP_DSR
2021-02,2021,2,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1664881,55496,17.5,29135417.5,SAP_DSR
2021-02,2021,2,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,535008,5944,17.5,9362640.0,SAP_DSR
2021-03,2021,3,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,61257,8751,17.5,1071997.5,SAP_DSR
2021-03,2021,3,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,691217,23040,17.5,12096297.5,SAP_DSR
2021-03,2021,3,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,262888,2920,17.5,4600540.0,SAP_DSR
2021-03,2021,3,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,119801,17114,17.5,2096517.5,SAP_DSR
2021-03,2021,3,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1280211,42673,17.5,22403692.5,SAP_DSR
2021-03,2021,3,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,496684,5518,17.5,8691970.0,SAP_DSR
2021-04,2021,4,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,59268,8466,17.5,1037190.0,SAP_DSR
